feature,mean,std
CHGB,2.4218772108843534,2.9664897997764625
SLC7A2,10.548891156462584,2.8846772797718057
SLPI,8.069845578231293,2.8914187929210673
CR2,3.0474102040816327,2.7654607148616637
TTYH1,4.543368027210884,2.687146007694081
TMPRSS6,5.0598340136054425,2.7479632086662464
BCAS1,7.921624999999999,2.9086116244614018
FAM5B,3.863184693877551,2.880337483508327
SPDYC,1.999996598639456,2.852966178277389
FAM196A,5.056514455782313,2.7119360984621297
NAT1,9.622552721088434,2.8396819845542356
SYT1,6.824436734693879,2.8124913438843144
FSIP1,6.703520408163265,2.7906378332163735
HORMAD1,1.925579931972789,2.840354565627185
PPP4R4,3.5206511904761904,2.738532420429859
FLJ45983,6.631702040816326,2.76319668799604
VSIG2,4.0939954081632655,2.6885241818550685
GLDC,4.219181292517007,2.8831566401426887
AKR7A3,7.5870255102040804,2.7642643948744428
CYP4X1,8.256917857142856,2.7852471471930977
MS4A1,4.885272619047619,2.7135401229785203
GRB14,5.195996428571428,2.916749992144096
CYP2A7,1.8473658163265305,2.7266680834042334
GJB1,4.169265136054422,2.7863413325849358
MMP12,4.6284129251700685,2.7588084037030263
TRPV6,6.2445775510204085,2.70772586122911
LRG1,8.202684183673469,2.73828153350662
ART3,2.202653401360544,2.7268515428767675
C1orf173,3.8208862244897954,2.6930614477344377
PCSK1N,3.6606066326530615,2.6996679555313534
TPRG1,7.525882823129252,2.7766631886580018
PAX7,1.9859280612244898,2.9021094118286
NDP,4.773047108843538,2.7678993819927817
GRIK3,7.19440119047619,2.744844025235615
C2CD4A,4.130573469387755,2.7167044802952103
RGS22,4.819127380952381,2.755265193148688
ZIC2,3.3960517006802724,2.758697607509359
PSCA,5.250532993197279,2.7394668321188007
ATRNL1,4.989343197278911,2.765754949286635
GABRB3,4.662735034013606,2.7228029684120187
C3orf57,7.254243027210884,2.7582515678835495
MAPK4,3.1791528911564626,2.7597730106427476
SHISA9,6.056330612244898,2.684786999488521
AKR1B10,3.042873299319728,2.7392911831834845
FGG,1.6592192176870746,2.8528589745035675
POF1B,5.657183163265306,2.746912372982044
ONECUT2,4.175618027210884,2.757571494258834
FUT3,4.9823008503401365,2.7283049819590155
PRODH,6.362245918367347,2.6943418479816446
GPR26,2.562486734693878,2.882448596668983
RBM24,5.544512074829932,2.700810535288781
TDRD1,2.899684013605442,2.8091635213656114
VIPR2,4.206958503401361,2.708423348799823
SBSN,2.279132482993197,2.7641977806908877
CHGA,1.554107993197279,2.705214674502902
TLX1,2.3423964285714285,2.7019736272164048
RIMS2,3.3599928571428572,2.696203673912635
age_at_initial_pathologic_diagnosis,57.82993197278912,13.172262223914018
