"feature","mean","median","sd","q025","q975","hr_mean","hr_q025","hr_q975","prob_positive","prob_negative","significant"
"GRIA2",0.0701022795480286,0.0557694386780606,0.15895398233174,-0.301287497777716,0.421001327556713,1.07261788251625,0.739865032614329,1.52348630092188,0.782916666666667,0.217083333333333,FALSE
"KRT5",-0.0688213276872702,-0.0524564167285298,0.375351987932976,-0.815293788610764,0.604283305005616,0.933493454613216,0.442509304068912,1.82994022979479,0.457666666666667,0.542333333333333,FALSE
"LRP2",-0.0590097476566372,-0.0620148980943204,0.173414400060244,-0.403837071389777,0.281489796768462,0.942697580019991,0.667752908459763,1.32510247592517,0.360416666666667,0.639583333333333,FALSE
"CRISP3",0.0582126140768553,0.0567716995376951,0.181580986142785,-0.295369677413093,0.419652870792391,1.0599403299896,0.744256401822781,1.5214333299964,0.633,0.367,FALSE
"KRT14",0.0558364092173,-0.0233747523165434,0.306849932681072,-0.39686574015635,0.778005389942689,1.05742468465466,0.672424299153738,2.17712541555415,0.47725,0.52275,FALSE
"LBP",-0.0546763346775803,-0.0541603510854597,0.183160542430521,-0.416355533269663,0.295340664925238,0.946791541955944,0.659445773889032,1.34358399267234,0.384166666666667,0.615833333333333,FALSE
"MUCL1",-0.0510398210773746,-0.0591027822700464,0.190356945549812,-0.402447793176733,0.340431638122447,0.950240830165387,0.668681247738635,1.40555415040148,0.362333333333333,0.637666666666667,FALSE
"OLFM4",0.0509311302061452,0.0867922017859571,0.126183353300109,-0.244335946546244,0.271397021471888,1.05225042251803,0.783224468505396,1.31179577810231,0.745666666666667,0.254333333333333,FALSE
"MUC16",-0.0483409839363698,-0.0571813483018449,0.191512752395678,-0.393904392168356,0.359752597381669,0.952808839171057,0.674418532851707,1.43297484897228,0.395,0.605,FALSE
"CALML5",0.0461108235395278,0.0230686299372442,0.169854770095181,-0.268032779647375,0.308269889963723,1.04719045787956,0.764882708106469,1.36106827803928,0.540166666666667,0.459833333333333,FALSE
"NLRP2",-0.043990343786134,-0.0253158006047942,0.13489482259813,-0.31040196095718,0.189447030511811,0.956963198069735,0.733152198428256,1.20858110437137,0.366166666666667,0.633833333333333,FALSE
"NPY1R",0.0410344675328272,0.0485703178735537,0.170963129642362,-0.297484659486852,0.358229399454273,1.041888016236,0.742683976286697,1.43079380615396,0.564416666666667,0.435583333333333,FALSE
"HMGCS2",0.033482635631095,0.0737388358168342,0.235954857281248,-0.291142595819093,0.475815957619707,1.03404948795361,0.747409093007168,1.60932680436578,0.581416666666667,0.418583333333333,FALSE
"MSLN",-0.0331053433802333,-0.0535870979310215,0.205362087598019,-0.283489638981903,0.39392919034608,0.967436641174968,0.753150925510008,1.48279554871765,0.423,0.577,FALSE
"MUC5B",-0.0293747608571183,-0.0747121298821579,0.170597480178398,-0.313665049860151,0.329960923200438,0.971052483806874,0.730763756593693,1.39091377494301,0.366583333333333,0.633416666666667,FALSE
"CEACAM6",-0.0235844753140322,-0.080971124651851,0.181824783384762,-0.346296771822191,0.409036623764396,0.976691464865665,0.707302548489954,1.5053668516769,0.35225,0.64775,FALSE
